HSN,Description,2019-20,2020-21,2021-22,2021-22 (till May'21),2022-23 (till May'22)
2,Meat and Edible Meat Offal,3300.69,3223.27,3376.68,607.8,580.28
3,"Fish and Crustaceans, Molluscs and other Aquatic Invertebrates",6159.24,5235.39,6902.96,1016.27,1122.85
4,Dairy Produce; Birds' Eggs; Natural Hoeney; Edible Products of Animal Origin N.E.S.,353.63,351.85,619.66,63.18,129.04
9,"Coffee, Tea, Mate and Spices",3299.28,3901.7,4000.5,714.2,662.05
10,Cereals,6672.38,10103.52,12872.74,1990.13,2654.63
11,Products of the Milling Industry; Malt; Starches; Insulin; Wheat Gluten,334.68,434.48,661.1,89.88,176.8
12,"Oil Seeds Oleaginous Fruits; MISc. Grains, Seeds and Fruits; Industrial or Medicinal Plants; Straw and Fodder",1773.09,1821.04,1746.48,271.49,311.3
15,Animal or Vegetable Fats and Oils and their Cleavage Products; Animal Vegetable Waxes,1165.69,1633.17,1546.78,281.02,376.95
16,"Preparations of Meat of Fish or of Crustaceans, Molluses of other Aquatic Invertebrates",480.11,637.94,771.26,100.36,163.4
17,Sugars and Sugar Confectionery,2192.15,3149.66,5089.35,914.2,1481.29
18,Cocoa and Cocoa Preparations,180.1,149.78,153.69,24.94,27.4
19,"Preparations of Cereals, Flour , Starch or Miilk; Pastry Cook' Products",531.21,617.13,632.9,101.43,112.36
20,"Preparations of Vegetables, Fruits, Nuts or other Parts of Plants",623.65,702.67,751.57,99.92,130.3
21,Miscellaneous Edible Preparations,834.52,932.86,1105.49,152.25,204.1
22,"Beverages, Spirits and Vinegar",254.77,354.7,332.95,47.67,60.15
23,Residues and Waste from the Food Industries; Prepared Animal Fodder,1167.54,2020.88,1582.81,274.24,299.89
24,Tobacco and Manufactured Tobacco Substitutes,905.15,876.71,923.4,153.71,192.24
28,"Inorganic Chemicals; Compounds of Precious Metals, or Rare-earth Metals, of Radio-active Elements or of Isotopes.",1764.25,1661.43,2653.79,380.25,488.81
29,Organic Chemicals,17487.28,17949.73,22048.58,3242.95,3690.22
30,Pharmaceutical Products,16289.26,19384.03,19407.51,2973.48,3230.12
31,Fertilizers,117.45,104.96,84.3,5.8,14.6
32,"Dyeing, Tanning Colouring Matter",3446,3062.66,3958.68,637.56,656.81
33,Essential Oils Resinoids; Cosmetic and other Similar Preparations,2202.49,1916.45,2227.88,337,444.75
34,"Soap and other Similar Preparations; Polishes and Creams ; Candles and the Like, Dental Waxes and Preparations",629.3,708.26,858.84,128.05,159.36
35,Albuminoidal Substances; Modified Starches; Glues; Enzymes,223.24,251.68,365.34,50.91,67.39
36,Explosives; Matches; Certan Combustibles Preparations,117.63,128.9,143.35,28.51,20.96
37,Photographic or Cinematographic Goods,11.19,9.8,11.22,1.69,1.58
38,Miscellaneous Chemical Products,5032.54,5116.42,7016.39,901.19,1259.48
39,Plastics and Articles thereof,6917.94,6871.5,9052.19,1470.3,1428.6
40,Rubber and Articles thereof,3161.52,3253.99,4635.72,673.73,814.31
42,"Articles of Leather , Saddlery Harness and Animal Guts",2426.07,1829.41,2538.64,308.21,439.04
47,Pulp of Wood or of other Materials; Waste and Scrap of Paper or Paperboard,8.84,10.78,2.07,0.18,0.18
48,"Paper and Paperboard; Articles of Paper Pulp, of Paper and Paperboard",1951.89,1940.95,3179.19,537.58,591.95
49,Printed Books and other Products of Printing Industry,340.78,249.4,363.28,46.38,58.35
64,"Footwear, Gaiters and the Like; Parts of Such Articles",2630.62,1877.45,2510.35,308.57,488.03
68,"Articles of Stone, Plaster, Cement, Asbestos, Mica or Similar Materials",1686.56,1860.23,2285.91,368.37,416.31
69,Ceramic Products,1914.39,2126.49,2283.84,401.43,416.52
70,Glass and Glassware,839.4,831.86,1063.54,157.02,190.93
Grand Total,Grand Total,99426.49,107293.12,129760.93,19861.85,23563.33
